Segment,Vehicle_ID,Type,Direction,Video_Time
5,879,motorbike,Down,240.28
5,883,motorbike,Up,241.2
5,872,car,Up,242.68
5,889,motorbike,Down,247.18
5,882,car,Up,247.64
5,894,motorbike,Down,249.02
5,897,motorbike,Down,249.22
5,901,motorbike,Down,249.58
5,888,car,Up,250.02
5,903,motorbike,Down,251.94
5,908,motorbike,Down,252.22
5,902,car,Up,252.44
5,912,motorbike,Down,252.48
5,911,motorbike,Down,252.92
5,913,motorbike,Down,253.0
5,918,motorbike,Down,253.54
5,922,car,Up,255.2
5,924,motorbike,Up,255.52
5,909,car,Up,257.24
5,928,motorbike,Up,258.16
5,931,motorbike,Up,259.04
5,933,motorbike,Down,259.24
5,923,car,Up,260.62
5,936,motorbike,Up,261.8
5,938,motorbike,Up,261.84
5,948,motorbike,Up,262.74
5,939,motorbike,Up,263.3
5,959,motorbike,Down,265.28
5,960,motorbike,Up,265.36
5,953,car,Up,266.62
5,949,car,Up,266.66
5,965,motorbike,Up,267.42
5,966,car,Up,268.06
5,968,motorbike,Down,268.26
5,971,motorbike,Up,268.56
5,955,car,Up,270.62
5,987,motorbike,Down,273.0
5,983,car,Down,273.06
5,985,motorbike,Up,273.52
5,988,motorbike,Down,273.62
5,993,motorbike,Down,273.88
5,996,motorbike,Down,274.92
5,1003,car,Down,276.32
5,1002,car,Up,278.6
5,1006,car,Up,279.04
5,1007,truck,Down,279.06
5,1008,car,Down,279.12
5,1009,motorbike,Up,279.58
5,1012,motorbike,Up,279.86
5,1015,motorbike,Down,280.4
5,1022,motorbike,Up,280.46
5,1027,motorbike,Down,280.96
5,1020,car,Up,281.24
5,1038,motorbike,Up,282.92
5,1045,motorbike,Up,283.48
5,1019,car,Up,283.56
5,1055,motorbike,Up,285.9
5,1060,motorbike,Up,286.48
5,1061,motorbike,Up,286.56
5,1056,car,Down,287.06
5,1021,car,Up,287.7
5,1071,motorbike,Up,289.84
5,1073,motorbike,Up,290.1
5,1069,motorbike,Up,290.28
5,1074,motorbike,Up,290.92
5,1053,car,Up,291.9
5,1077,motorbike,Down,293.86
5,1078,car,Down,294.56
5,1065,car,Up,294.78
5,1085,motorbike,Up,296.76
5,1086,motorbike,Up,297.66
5,1076,car,Up,299.14
5,1091,car,Down,299.98
