Segment,Vehicle_ID,Type,Direction,Video_Time
4,631,motorbike,Down,180.02
4,637,motorbike,Up,180.08
4,647,motorbike,Up,180.96
4,645,car,Down,181.24
4,627,car,Up,182.52
4,652,motorbike,Down,182.94
4,657,motorbike,Down,183.42
4,654,motorbike,Down,183.52
4,658,car,Down,184.62
4,638,car,Up,184.72
4,634,car,Up,186.52
4,665,car,Down,186.76
4,668,motorbike,Up,187.62
4,653,car,Up,188.36
4,675,motorbike,Down,189.68
4,681,motorbike,Down,189.74
4,683,motorbike,Up,189.84
4,677,motorbike,Up,190.14
4,690,motorbike,Up,191.4
4,688,motorbike,Down,191.54
4,696,motorbike,Up,191.88
4,695,motorbike,Up,192.06
4,687,motorbike,Up,192.44
4,698,motorbike,Down,192.58
4,701,motorbike,Up,194.38
4,702,motorbike,Up,195.1
4,707,car,Down,198.46
4,709,motorbike,Down,199.02
4,705,car,Up,200.62
4,715,motorbike,Down,200.96
4,714,car,Down,201.62
4,710,car,Up,201.72
4,727,motorbike,Up,202.56
4,726,motorbike,Up,202.56
4,718,motorbike,Up,202.58
4,728,motorbike,Up,202.8
4,733,motorbike,Up,203.74
4,717,motorbike,Up,203.98
4,736,motorbike,Down,205.12
4,740,motorbike,Up,205.14
4,745,motorbike,Down,205.68
4,750,motorbike,Up,206.22
4,741,motorbike,Up,206.44
4,739,car,Up,206.48
4,749,motorbike,Down,206.9
4,760,motorbike,Up,207.66
4,725,car,Up,208.04
4,765,motorbike,Down,208.24
4,771,car,Up,211.26
4,754,car,Up,211.32
4,761,car,Up,212.78
4,775,motorbike,Down,214.26
4,747,car,Up,214.32
4,778,motorbike,Down,214.5
4,781,motorbike,Up,216.34
4,783,car,Down,217.66
4,774,car,Up,217.66
4,789,car,Down,218.64
4,790,motorbike,Down,218.68
4,776,car,Up,219.32
4,792,motorbike,Down,219.66
4,798,motorbike,Down,222.58
4,801,motorbike,Up,223.66
4,805,motorbike,Down,225.1
4,809,motorbike,Up,225.9
4,810,motorbike,Down,226.28
4,820,car,Down,228.16
4,818,car,Down,228.24
4,830,car,Down,230.18
4,833,motorbike,Up,230.44
4,817,car,Up,231.16
4,836,motorbike,Down,231.66
4,846,motorbike,Up,232.4
4,843,car,Down,232.54
4,849,motorbike,Down,233.0
4,854,motorbike,Down,233.42
4,824,car,Up,233.72
4,855,car,Down,234.52
4,852,car,Up,235.72
4,870,motorbike,Up,237.36
4,874,motorbike,Up,238.06
4,850,car,Up,238.92
