Segment,Vehicle_ID,Type,Direction,Video_Time
3,456,car,Up,124.16
3,457,motorbike,Up,125.7
3,451,car,Up,127.44
3,460,car,Up,128.72
3,467,car,Up,128.98
3,468,car,Up,129.12
3,463,car,Up,130.26
3,471,motorbike,Up,131.58
3,464,car,Up,132.04
3,472,motorbike,Down,132.38
3,476,motorbike,Down,132.64
3,475,car,Up,133.52
3,482,motorbike,Down,134.42
3,484,motorbike,Up,134.74
3,486,motorbike,Down,135.22
3,489,motorbike,Up,135.8
3,491,car,Up,136.66
3,470,car,Up,136.68
3,492,car,Down,137.76
3,483,car,Up,138.16
3,494,motorbike,Up,139.7
3,500,motorbike,Up,142.14
3,501,motorbike,Up,142.2
3,499,motorbike,Up,142.76
3,507,motorbike,Up,143.52
3,508,motorbike,Down,144.34
3,510,motorbike,Up,144.58
3,517,motorbike,Up,146.42
3,495,car,Up,146.48
3,511,car,Up,146.56
3,518,truck,Down,147.04
3,524,car,Down,147.26
3,526,motorbike,Down,147.76
3,527,car,Down,147.8
3,519,motorbike,Down,147.88
3,533,motorbike,Down,147.96
3,532,motorbike,Up,147.96
3,520,car,Up,148.24
3,534,motorbike,Down,148.26
3,539,motorbike,Down,150.5
3,522,car,Up,151.56
3,503,car,Up,154.46
3,545,car,Up,156.22
3,551,motorbike,Down,157.46
3,546,car,Up,157.56
3,553,motorbike,Up,158.48
3,557,car,Up,160.74
3,559,motorbike,Down,161.5
3,561,motorbike,Down,161.62
3,563,motorbike,Up,162.58
3,569,motorbike,Up,163.06
3,570,motorbike,Down,163.96
3,574,car,Down,165.46
3,558,car,Up,166.5
3,586,truck,Up,166.76
3,584,car,Up,168.88
3,590,motorbike,Down,169.0
3,596,car,Up,170.94
3,594,car,Up,172.04
3,607,motorbike,Up,173.5
3,608,car,Up,173.56
3,611,motorbike,Up,173.92
3,606,motorbike,Up,173.92
3,613,motorbike,Down,174.74
3,615,motorbike,Up,175.04
3,616,motorbike,Down,175.14
3,604,car,Up,176.22
3,620,car,Down,177.24
3,622,car,Up,177.64
3,626,motorbike,Up,177.78
3,631,motorbike,Down,179.58
