Segment,Vehicle_ID,Type,Direction,Video_Time
1,1,motorbike,Up,0.02
1,1,motorbike,Down,0.02
1,2,motorbike,Down,4.22
1,2,motorbike,Up,4.46
1,3,motorbike,Down,8.58
1,3,motorbike,Up,8.78
1,5,car,Down,9.32
1,5,car,Up,9.68
1,7,motorbike,Down,14.26
1,8,car,Down,15.44
1,8,car,Up,15.84
1,4,car,Up,18.7
1,10,motorbike,Down,20.24
1,12,motorbike,Up,20.7
1,12,motorbike,Down,20.7
1,11,car,Down,21.16
1,11,car,Up,21.58
1,13,car,Down,22.76
1,14,car,Down,23.0
1,14,car,Up,23.02
1,15,car,Down,24.66
1,15,car,Up,25.04
1,9,motorbike,Down,26.02
1,9,motorbike,Up,26.26
1,7,motorbike,Up,26.58
1,16,motorbike,Down,28.5
1,16,motorbike,Up,28.72
1,17,motorbike,Down,30.78
1,18,motorbike,Down,41.12
1,18,motorbike,Up,41.36
1,20,car,Down,42.58
1,13,car,Up,43.26
1,21,motorbike,Down,44.78
1,10,motorbike,Up,45.06
1,6,car,Up,45.6
1,22,truck,Down,46.86
1,23,car,Up,47.82
1,23,car,Down,47.82
1,24,motorbike,Down,49.82
1,19,motorbike,Down,50.08
1,25,motorbike,Down,53.12
1,28,car,Down,56.06
1,28,car,Up,56.56
1,29,motorbike,Down,59.74
1,17,motorbike,Up,60.52
1,31,motorbike,Down,67.98
1,30,motorbike,Down,71.08
1,35,motorbike,Down,78.1
1,27,car,Down,78.6
1,26,car,Down,79.92
1,26,car,Up,80.36
1,34,motorbike,Down,84.72
1,36,motorbike,Down,90.22
1,33,motorbike,Down,90.58
1,37,car,Down,91.52
1,29,motorbike,Up,95.02
1,19,motorbike,Up,95.22
1,38,motorbike,Down,95.28
1,38,motorbike,Up,99.14
1,41,motorbike,Down,100.34
1,42,car,Down,109.72
1,42,car,Up,110.16
1,43,car,Down,112.6
1,43,car,Up,112.98
1,25,motorbike,Up,115.52
1,21,motorbike,Up,115.64
1,44,motorbike,Down,117.62
